question,answer_text,distractor
What made people curious about the father and daughter was that,they appeared to be badly off but refused money offered,"'they appeared to be badly off but refused profits offered', 'they reappeared to be badly off but refused money offered'"
The writer 's purpose of writing this passage is to,tell us that life has been changing,"'tell us that upbringing has been changing', 'hear us that life has been changing'"
"If you are a tourist to Greece from overseas , you 'd better choose",guided Greece bus tours,"'guided Greece minibus tours', 'unleashed Greece bus tours'"
"In Britain , universities organize the "" Freshers Week""to",help the first year students to get rid of the shyness .,"'help the first semester students to get rid of the shyness .', 'mislead the first year students to get rid of the shyness .'"
What does James Pennebaker reveal in The Secret Life of Pronouns ?,A pattern in confident people 's use of pronouns .,"'A sequence in confident people 's use of pronouns .', 'A pattern in confident people 's use of pronouns .'"
The purpose of the author in writing the passage is,to tell us the importance and meaning of WIN - WIN .,"'to tell us the acceptability and meaning of WIN - WIN .', 'to hear us the importance and meaning of WIN - WIN .'"
Students are not happy about,too much homework,"'too much legwork', 'too much homework'"
The best title of this passage is,Smile and the World Smiles to You,"'Smile and the universe Smiles to You', 'Smile and the World Smiles to You'"
"According to Coutu ,",It 's not easy to produce and maintain large quantities of antimatter,"'It 's not easy to produce and maintain large concentrations of antimatter', 'It valley/selected not easy to produce and maintain large quantities of antimatter'"
The best title of the passage is,Bush Took Ice Bucket Challenge,"'shrub Took Ice Bucket Challenge', 'Bush Took Ice Bucket Challenge'"
"According to the passage , a tornado",is a violent low - pressured storm,"'is a violent low - pressured thunderstorm', 'was a violent low - pressured storm'"
Which of the following might be the best title for the passage ?,The Rainbow Sheikh 's name can be seen from space,"'The Rainbow sheik 's name can be seen from space', 'The Rainbow Sheikh 's name can been seen from space'"
Which of the following is TRUE according to the passage ?,"The average Chinese uses nearly 2,300 liters of virtual water a day .","'The average Chinese installs nearly 2,300 liters of virtual water a day .', 'The average Chinese uses nearly 2,300 liters of virtual water a day .'"
We can infer from the passage that,learning English well will make you achieve goals more easily,"'learning English well will make you achieve dismissals more easily', 'teaching English well will make you achieve goals more easily'"
Hybrid cars are popular because,they are energy - saving and cut pollution,"'they are pesticide - saving and cut pollution', 'they were energy - saving and cut pollution'"
"On Mother 's Day , people",send gifts of love to their mothers,"'send tributes of love to their mothers', 'send gifts of love to their mothers'"
What did the professor want to find out through his research ?,The secret of having a fulfilling and pleasant life .,"'The unseen of having a fulfilling and pleasant life .', 'The secret of have a fulfilling and pleasant life .'"
Who will fly in first class ?,The black man .,"'The black girl .', 'The black man .'"
The passage mainly tells us that,we should hope for the best,"'we should hope for the best', 'we should wish for the best'"
What do we know about Simon 's Workshop ?,It is held every Wednesday .,"'It is held every Wednesday .', 'It was held every Wednesday .'"
The Norwegian government has tried to,keep the oil industry to something near its present size,"'keep the gas industry to something near its present size', 'oppose the oil industry to something near its present size'"
We can learn from the passage that,impacted wisdom teeth have the risk of getting infected,"'impacted prophecy teeth have the risk of getting infected', 'impacted wisdom teeth 've the risk of getting infected'"
Why did the four Japanese gentlemen leave Mary suddenly ?,Because they could n't bear Mary 's behavior any longer .,"'Because they could n't bear Mary 's behaviour any longer .', 'Because they could n't swallow Mary 's behavior any longer .'"
What kind of life can make common people feel happy ?,Life full of sensual pleasures .,"'animation full of sensual pleasures .', 'Life full of sensual pleasures .'"
"According to the writer , buying things one at a time can",increase our experience of happiness,"'increase our enjoyment of happiness', 'decrease our experience of happiness'"
